date, total_amount
2023-01-01, 27425000
2023-01-02, 25925000
2023-01-03, 25723000
2023-01-04, 21129000
2023-01-05, 26220000
2023-01-06, 24124000
2023-01-07, 22331000
2023-01-08, 25619000
2023-01-09, 24624000
2023-01-10, 27021000
2023-01-11, 26817000
2023-01-12, 22630000
2023-01-13, 28021000
2023-01-14, 26018000
2023-01-15, 25324000
2023-01-16, 26324000
2023-01-17, 24921000
2023-01-18, 26123000
2023-01-19, 26220000
2023-01-20, 24026000
2023-01-21, 26422000
2023-01-22, 23029000
2023-01-23, 25223000
2023-01-24, 25026000
2023-01-25, 24128000
2023-01-26, 24925000
2023-01-27, 27621000
2023-01-28, 27224000
2023-01-29, 26424000
2023-01-30, 28416000
2023-01-31, 27017000
